level $1874$ complete, p/sec ratio: @1.898927392046245@
level $1875$ complete, p/sec ratio: @1.7945490440103162@
level $1876$ complete, p/sec ratio: @1.9754708193261328@
level $1877$ complete, p/sec ratio: @2.4751445298587043@
level $1878$ complete, p/sec ratio: @1.6590130693734892@
level $1879$ complete, p/sec ratio: @3.0468551178970995@
level $1880$ complete, p/sec ratio: @2.11510361459138@
level $1881$ complete, p/sec ratio: @3.09555273252729@
level $1882$ complete, p/sec ratio: @1.4368144481971556@
level $1883$ complete, p/sec ratio: @1.453467339773566@
level $1884$ complete, p/sec ratio: @3.023036518518572@
level $1885$ complete, p/sec ratio: @1.2541729975452605@
level $1886$ complete, p/sec ratio: @1.4011601721376077@
level $1887$ complete, p/sec ratio: @2.478850248074754@
level $1888$ complete, p/sec ratio: @1.9277005787180093@
level $1889$ complete, p/sec ratio: @1.8026405614786254@
level $1890$ complete, p/sec ratio: @1.437869872920857@
level $1891$ complete, p/sec ratio: @1.71754531560638@
level $1892$ complete, p/sec ratio: @2.2112087340889994@
level $1893$ complete, p/sec ratio: @1.56953046888646@
level $1894$ complete, p/sec ratio: @2.0658629154313473@
level $1895$ complete, p/sec ratio: @1.9808704477580925@
level $1896$ complete, p/sec ratio: @1.661891602385262@
level $1897$ complete, p/sec ratio: @2.2475540955017017@
level $1898$ complete, p/sec ratio: @2.1435013898749933@
level $1899$ complete, p/sec ratio: @2.1489488561795045@
level $1900$ complete, p/sec ratio: @1.8945738966905705@
level $1901$ complete, p/sec ratio: @1.627831684312651@
level $1902$ complete, p/sec ratio: @2.730442413479803@
level $1903$ complete, p/sec ratio: @1.7146773941081985@
level $1904$ complete, p/sec ratio: @2.0508613731560694@
level $1905$ complete, p/sec ratio: @1.8681556155151517@
level $1906$ complete, p/sec ratio: @2.008227803818304@
level $1907$ complete, p/sec ratio: @1.587379209174353@
level $1908$ complete, p/sec ratio: @1.6495803884134512@
level $1909$ complete, p/sec ratio: @2.1121693403429393@
level $1910$ complete, p/sec ratio: @1.6425609833911552@
level $1911$ complete, p/sec ratio: @1.9569824694807174@
level $1912$ complete, p/sec ratio: @2.512259453917338@
level $1913$ complete, p/sec ratio: @1.4081192483799516@
level $1914$ complete, p/sec ratio: @3.1045216170868066@
level $1915$ complete, p/sec ratio: @2.471508009579284@
level $1916$ complete, p/sec ratio: @2.2142932481003386@
level $1917$ complete, p/sec ratio: @1.800436082605438@
level $1918$ complete, p/sec ratio: @1.8871402557734396@
level $1919$ complete, p/sec ratio: @1.6845290188470228@
level $1920$ complete, p/sec ratio: @2.6703643919408098@
level $1921$ complete, p/sec ratio: @1.5440133023237257@
level $1922$ complete, p/sec ratio: @2.8100504737541203@
level $1923$ complete, p/sec ratio: @2.752394199193029@
level $1924$ complete, p/sec ratio: @2.985769242411403@
level $1925$ complete, p/sec ratio: @2.6476638021424153@
level $1926$ complete, p/sec ratio: @1.87386804749958@
level $1927$ complete, p/sec ratio: @1.7583577776538735@
level $1928$ complete, p/sec ratio: @1.6665849117463336@
level $1929$ complete, p/sec ratio: @1.240850263672253@
level $1930$ complete, p/sec ratio: @2.3185250135194435@
level $1931$ complete, p/sec ratio: @1.6985128695679992@
level $1932$ complete, p/sec ratio: @2.973664041192166@
level $1933$ complete, p/sec ratio: @1.2380764652445049@
level $1934$ complete, p/sec ratio: @2.0447758879847897@
level $1935$ complete, p/sec ratio: @2.5866651280657518@
level $1936$ complete, p/sec ratio: @2.031910779758741@
level $1937$ complete, p/sec ratio: @1.573711269502477@
